person_id,academic_pressure,work_pressure,cgpa,study_satisfaction,job_satisfaction,work_study_hours
1,5,0,8.97,2,0,3
2,2,0,5.9,5,0,3
3,3,0,7.03,5,0,9
4,3,0,5.59,2,0,4
5,4,0,8.13,3,0,1
6,2,0,5.7,3,0,4
7,3,0,9.54,4,0,1
8,2,0,8.04,4,0,0
9,3,0,9.79,1,0,12
10,2,0,8.38,3,0,2
11,3,0,6.1,3,0,11
12,3,0,7.03,4,0,10
13,5,0,7.04,1,0,10
14,2,0,8.52,4,0,6
15,5,0,5.64,5,0,4
16,3,0,8.58,3,0,10
17,5,0,6.51,2,0,2
18,5,0,7.25,3,0,10
19,2,0,7.83,2,0,6
20,3,0,9.93,3,0,8
21,3,0,8.74,4,0,1
22,3,0,6.73,3,0,0
23,3,0,5.57,3,0,10
24,1,0,8.59,4,0,11
25,4,0,7.1,3,0,11
26,5,0,8.58,5,0,2
27,2,0,6.08,5,0,3
28,3,0,7.25,3,0,10
29,5,0,5.74,2,0,8
30,3,0,9.86,3,0,11
31,4,0,6.7,5,0,5
32,2,0,6.21,3,0,4
33,1,0,7.25,1,0,7
34,1,0,5.87,3,0,8
35,1,0,8.04,3,0,0
36,1,0,6.37,3,0,2
37,5,0,9.72,2,0,0
38,5,0,5.88,3,0,9
39,1,0,9.56,2,0,6
40,3,0,6.51,4,0,3
41,3,0,6.99,2,0,11
42,2,0,6.1,4,0,10
43,1,0,5.24,3,0,2
44,4,0,9.21,1,0,10
45,1,0,7.85,4,0,12
46,1,0,9.93,1,0,10
47,2,0,6.95,2,0,2
48,1,0,5.86,3,0,1
49,3,0,7.04,3,0,1
50,5,0,6.99,5,0,0
51,3,0,7.92,3,0,10
52,5,0,9.66,1,0,12
53,3,0,5.7,5,0,11
54,4,0,8.94,1,0,12
55,2,0,8.04,3,0,8
56,1,0,9.71,1,0,5
57,3,0,8.04,2,0,7
58,5,0,7.87,1,0,11
59,5,0,5.74,1,0,11
60,3,0,5.6,1,0,9
61,5,0,9.21,1,0,7
62,4,0,7.9,3,0,3
63,3,0,5.46,4,0,10
64,1,0,6.79,5,0,0
65,5,0,8.7,4,0,4
66,2,0,7.38,5,0,2
67,1,0,8.5,3,0,11
68,2,0,7.09,4,0,11
69,3,0,9.82,3,0,12
70,1,0,8.89,4,0,10
71,5,0,7.94,3,0,8
72,3,0,9.11,5,0,5
73,3,0,6.75,4,0,6
74,1,0,7.53,4,0,7
75,3,0,9.49,5,0,9
76,1,0,9.01,4,0,3
77,2,0,7.64,1,0,0
78,5,0,5.27,1,0,6
79,5,0,8.74,2,0,8
80,5,0,6.0,2,0,0
81,2,0,9.44,1,0,7
82,2,0,5.75,3,0,5
83,1,0,7.51,2,0,7
84,2,0,6.37,1,0,4
85,4,0,6.95,4,0,12
86,1,0,7.1,5,0,6
87,1,0,9.66,4,0,12
88,3,0,9.05,1,0,1
89,3,0,6.38,3,0,11
90,2,0,8.5,5,0,1
91,2,0,7.09,4,0,8
92,1,0,8.97,2,0,3
93,3,0,8.95,1,0,4
94,2,0,9.88,4,0,0
95,4,0,6.75,1,0,10
96,3,0,5.32,3,0,7
97,4,0,6.27,4,0,10
98,3,0,7.7,2,0,11
99,3,0,9.66,1,0,9
100,5,0,8.1,1,0,9
101,4,0,9.59,2,0,11
102,5,0,8.96,1,0,12
103,2,0,7.51,5,0,7
104,5,0,5.32,1,0,11
105,1,0,8.95,3,0,10
106,1,0,8.5,3,0,10
107,2,0,5.51,5,0,12
108,4,0,7.43,2,0,6
109,2,0,8.79,1,0,8
110,2,0,9.95,4,0,0
111,5,0,9.79,5,0,10
112,5,0,5.37,4,0,12
113,3,0,6.86,4,0,12
114,5,0,7.83,1,0,11
115,2,0,8.32,1,0,12
116,3,0,5.51,2,0,7
117,3,0,9.74,1,0,5
118,5,0,5.66,1,0,11
119,3,0,7.48,4,0,10
120,4,0,8.89,3,0,6
121,5,0,8.23,2,0,4
122,5,0,8.81,1,0,8
123,5,0,6.03,4,0,11
124,5,0,9.44,4,0,3
125,3,0,7.25,3,0,9
126,1,0,5.56,1,0,9
127,3,0,5.68,1,0,10
128,3,0,5.14,3,0,12
129,3,0,7.61,2,0,3
130,1,0,6.17,4,0,10
131,2,0,8.17,3,0,7
132,5,0,9.87,5,0,12
133,3,0,9.86,4,0,9
134,2,0,9.21,3,0,0
135,3,0,5.46,4,0,11
136,5,0,8.96,2,0,1
137,2,0,7.94,2,0,2
138,2,0,8.58,4,0,10
139,3,0,8.5,1,0,3
140,3,0,8.74,5,0,6
141,1,0,5.14,5,0,12
142,3,0,8.75,5,0,10
143,1,0,9.71,4,0,1
144,4,0,7.25,3,0,1
145,1,0,6.16,4,0,10
146,1,0,9.5,2,0,9
147,4,0,7.99,2,0,10
148,3,0,9.86,2,0,9
149,5,0,5.67,3,0,4
