gender,age,degree,city_id,profession_id
Male,33,B.Pharm,1,1
Female,24,BSc,2,1
Male,31,BA,3,1
Female,28,BCA,4,1
Female,25,M.Tech,5,1
Male,29,PhD,6,1
Male,30,BSc,7,1
Female,30,Class 12,8,1
Male,28,B.Ed,9,1
Male,31,LLB,10,1
Male,24,Class 12,9,1
Male,33,BE,11,1
Male,27,M.Tech,12,1
Female,19,Class 12,13,1
Female,19,Class 12,12,1
Male,29,M.Tech,3,1
Male,25,M.Ed,10,1
Female,20,Class 12,14,1
Male,19,Class 12,8,1
Male,25,B.Ed,12,1
Male,29,B.Ed,15,1
Male,29,M.Tech,15,1
Female,25,MSc,14,1
Male,23,BHM,7,1
Male,18,Class 12,2,1
Female,20,Class 12,16,1
Male,31,LLB,14,1
Male,25,M.Ed,17,1
Male,33,M.Pharm,18,1
Male,28,M.Pharm,12,1
Male,18,Class 12,19,1
Male,18,Class 12,1,1
Male,21,MCA,5,1
Female,31,PhD,12,1
Male,21,MA,19,1
Female,25,B.Pharm,20,1
Female,21,B.Com,21,1
Male,28,BCA,3,1
Male,28,MD,7,1
Male,25,B.Pharm,22,1
Female,20,Class 12,7,1
Male,23,MSc,23,1
Male,19,Class 12,23,1
Female,33,MBA,24,1
Female,23,BE,8,1
Male,22,B.Ed,17,1
Female,19,Class 12,22,1
Female,30,BSc,25,1
Male,21,MSc,12,1
Female,19,Class 12,13,1
Male,23,B.Com,12,1
Female,23,BHM,26,1
Female,18,Class 12,11,1
Male,28,M.Pharm,3,1
Male,24,M.Tech,25,1
Female,33,B.Com,3,1
Female,20,Class 12,12,1
Male,23,BSc,12,1
Male,23,BA,6,1
Female,24,MBBS,20,1
Male,25,BSc,5,1
Female,24,MBBS,21,1
Female,24,BSc,15,1
Male,31,MCA,10,1
Male,20,Class 12,7,1
Male,21,MA,20,1
Male,25,BA,27,1
Male,19,Class 12,16,1
Female,34,MSc,19,1
Male,24,M.Tech,23,1
Male,33,B.Ed,25,1
Male,32,MBBS,28,1
Male,18,Class 12,21,1
Female,31,M.Com,18,1
Female,25,BHM,12,1
Male,20,Class 12,19,1
Male,31,MSc,24,1
Male,24,MD,19,1
Male,24,B.Pharm,17,1
Female,23,MSc,13,1
Female,25,BSc,4,1
Male,25,BSc,3,1
Female,25,B.Arch,24,1
Female,28,BE,12,1
Female,20,Class 12,14,1
Female,24,LLM,29,1
Male,23,B.Tech,20,1
Male,19,Class 12,6,1
Female,24,MCA,25,1
Female,34,BSc,19,1
Female,25,B.Arch,24,1
Male,28,BBA,10,1
Female,27,BBA,21,1
Male,22,BSc,6,1
Male,27,BHM,15,1
Female,34,B.Tech,25,1
Male,22,B.Com,9,1
Male,23,M.Com,17,1
Male,24,M.Pharm,12,1
Male,21,B.Arch,30,1
Male,26,BSc,26,1
Female,24,BCA,15,1
Male,34,MSc,15,1
Female,29,ME,23,1
Male,33,MBBS,1,1
Male,21,BCA,28,1
Female,33,BSc,30,1
Male,28,MBA,17,1
Male,27,MCA,5,1
Male,33,M.Tech,22,1
Female,18,Class 12,30,1
Female,20,Class 12,15,1
Female,19,Class 12,16,1
Male,21,MSc,14,2
Male,32,B.Tech,26,1
Male,32,LLB,30,1
Male,33,MD,13,1
Female,23,MCA,2,1
Male,24,M.Com,12,1
Female,20,Class 12,3,1
Female,24,B.Arch,14,1
Male,22,MCA,8,1
Male,26,BCA,10,1
Female,18,Class 12,26,1
Male,26,MD,26,1
Male,33,MD,17,1
Female,19,Class 12,1,1
Male,26,MSc,5,1
Female,34,BE,17,1
Female,22,BCA,6,1
Female,28,B.Tech,19,1
Male,31,LLB,17,1
Female,18,Class 12,4,1
Male,32,M.Tech,7,1
Female,19,Class 12,5,1
Male,20,Class 12,16,1
Male,28,BCA,9,1
Male,19,Class 12,21,1
Male,34,B.Tech,6,1
Male,20,Class 12,11,1
Male,18,Class 12,19,1
Female,29,BCA,28,1
Male,24,M.Tech,15,1
Male,33,BSc,5,1
Male,34,B.Tech,10,1
Female,29,B.Com,23,1
Male,27,B.Com,17,1
Female,31,MD,3,1
Male,30,B.Tech,20,1
Female,31,MA,7,1
Male,26,B.Arch,13,1
Male,21,B.Ed,28,1
Female,34,B.Ed,17,1
Male,24,B.Com,16,1
Male,21,B.Com,4,1
Female,31,B.Tech,9,1
Male,20,Class 12,17,1
Male,34,LLM,27,1
Female,30,M.Com,20,1
